ID   Audio     Condition               Interest_Area       Labeled? pts-in-poly    pts-total   pts-in-all     Rel_Ratio    Total_Ratio
067  sound     OneItem  NonLabelled    067_legoman_2       0        60             125         69             0.869565217391 0.48
025  silent    OneItem  NonLabelled    025_raceCar_2       0        43             117         49             0.877551020408 0.367521367521
025  silent    OneItem  NonLabelled    025_hand_1          0        6              117         49             0.122448979592 0.0512820512821
044  sound     MultiItem  NonLabelled  044_toy_6           0        0              107         0              0              0.0
044  sound     MultiItem  NonLabelled  044_mic_4           0        0              107         0              0              0.0
044  sound     MultiItem  NonLabelled  044_sock_5          0        0              107         0              0              0.0
044  sound     MultiItem  NonLabelled  044_lego_3          0        0              107         0              0              0.0
044  sound     MultiItem  NonLabelled  044_boomwhacker_1   0        0              107         0              0              0.0
044  sound     MultiItem  NonLabelled  044_bottle_2        0        0              107         0              0              0.0
085  sound     OneItem  Labelled       085_cat_1           1        58             86          58             1.0            0.674418604651
060  silent    OneItem  Labelled       060_mic_1           1        84             125         84             1.0            0.672
060  silent    OneItem  Labelled       060_hand_2          0        0              125         84             0.0            0.0
019  silent    MultiItem  NonLabelled  019_car_1           0        57             57          57             1.0            1.0
019  silent    MultiItem  NonLabelled  019_truck_2         0        0              57          57             0.0            0.0
039  silent    MultiItem  Labelled     039_mic_3           0        0              136         136            0.0            0.0
039  silent    MultiItem  Labelled     039_tambourine_1    1        94             136         136            0.691176470588 0.691176470588
039  silent    MultiItem  Labelled     039_toy_4           0        23             136         136            0.169117647059 0.169117647059
039  silent    MultiItem  Labelled     039_hand_2          0        19             136         136            0.139705882353 0.139705882353
016  sound     MultiItem  NonLabelled  016_car_2           0        0              114         40             0.0            0.0
016  sound     MultiItem  NonLabelled  016_ball_1          0        0              114         40             0.0            0.0
016  sound     MultiItem  NonLabelled  016_vehicles_8      0        0              114         40             0.0            0.0
016  sound     MultiItem  NonLabelled  016_truck_7         0        0              114         40             0.0            0.0
016  sound     MultiItem  NonLabelled  016_firetruck_3     0        20             114         40             0.5            0.175438596491
016  sound     MultiItem  NonLabelled  016_tricycle_6      0        0              114         40             0.0            0.0
016  sound     MultiItem  NonLabelled  016_racecar_5       0        0              114         40             0.0            0.0
016  sound     MultiItem  NonLabelled  016_motorcycle_4    0        20             114         40             0.5            0.175438596491
066  silent    OneItem  NonLabelled    066_legoman_1       0        8              131         8              1.0            0.0610687022901
010  silent    MultiItem  Labelled     010_foot_2          1        63             119         74             0.851351351351 0.529411764706
010  silent    MultiItem  Labelled     010_foot_1          1        0              119         74             0.0            0.0
010  silent    MultiItem  Labelled     010_sock_4          0        11             119         74             0.148648648649 0.0924369747899
010  silent    MultiItem  Labelled     010_hand_3          0        0              119         74             0.0            0.0
087  silent    OneItem  Labelled       047_chicken_1       0        55             118         55             1.0            0.466101694915
087  silent    OneItem  Labelled       047_legoman_2       0        0              118         55             0.0            0.0
038  sound     MultiItem  Labelled     047_car_3           0        0              116         92             0.0            0.0
038  sound     MultiItem  Labelled     087_mirror_1        1        70             116         92             0.760869565217 0.603448275862
038  sound     MultiItem  Labelled     087_hand_2          0        22             116         92             0.239130434783 0.189655172414
012  sound     MultiItem  NonLabelled  038_hands_3         0        0              134         66             0.0            0.0
012  sound     MultiItem  NonLabelled  038_mic_1           1        0              134         66             0.0            0.0
012  sound     MultiItem  NonLabelled  038_toy_4           0        0              134         66             0.0            0.0
012  sound     MultiItem  NonLabelled  012_block_2         0        0              134         66             0.0            0.0
012  sound     MultiItem  NonLabelled  012_block_1         0        0              134         66             0.0            0.0
012  sound     MultiItem  NonLabelled  012_container_8     0        0              134         66             0.0            0.0
012  sound     MultiItem  NonLabelled  012_foot_           0        0              134         66             0.0            0.0
012  sound     MultiItem  NonLabelled  012_blocks_3        0        66             134         66             1.0            0.492537313433
012  sound     MultiItem  NonLabelled  012_blocks_4        0        0              134         66             0.0            0.0
076  silent    MultiItem  NonLabelled  012_concrete_6      0        37             129         118            0.313559322034 0.286821705426
076  silent    MultiItem  NonLabelled  012_concrete_7      0        38             129         118            0.322033898305 0.294573643411
076  silent    MultiItem  NonLabelled  012_blocks_5        0        43             129         118            0.364406779661 0.333333333333
076  silent    MultiItem  NonLabelled  076_donut_2         0        0              129         118            0.0            0.0
076  silent    MultiItem  NonLabelled  076_donut_1         0        0              129         118            0.0            0.0
058  sound     OneItem  Labelled       076_stand_5         0        17             115         41             0.414634146341 0.147826086957
058  sound     OneItem  Labelled       076_hands_3         0        24             115         41             0.585365853659 0.208695652174
032  silent    MultiItem  Labelled     076_sock_4          0        14             120         31             0.451612903226 0.116666666667
